SEMESTER,SUBJECT,CATALOGNUMBER,LOCATION,ENROLMENTCAPACITY,ENROLMENTTOTAL,INSTRUCTORS,COMPONENTCODE
1001,ATHL,201,BURNABY,9999,0,(null),CNV
1001,ATHL,202,BURNABY,9999,0,(null),CNV
1001,ATHL,203,BURNABY,9999,0,(null),CNV
1001,ATHL,204,BURNABY,9999,0,(null),CNV
1001,CMNS,110,BURNABY,9999,0,(null),CNV
1001,CMNS,130,BURNABY,9999,0,(null),CNV
1001,CMNS,200,BURNABY,9999,0,(null),CNV
1001,CMNS,205,BURNABY,9999,0,(null),CNV
1001,CMNS,210,BURNABY,9999,0,(null),CNV
1001,CMNS,220,BURNABY,9999,0,(null),CNV
1001,CMNS,221,BURNABY,9999,0,(null),CNV
1001,CMNS,223,BURNABY,9999,0,(null),CNV
1001,CMNS,224,BURNABY,9999,0,(null),CNV
1001,CMNS,226,BURNABY,9999,0,(null),CNV
1001,CMNS,230,BURNABY,9999,0,(null),CNV
1001,CMNS,235,BURNABY,9999,0,(null),CNV
1001,CMNS,240,BURNABY,9999,0,(null),CNV
1001,CMNS,247,BURNABY,9999,0,(null),CNV
1001,CMNS,253,BURNABY,9999,0,(null),CNV
1001,CMNS,258,BURNABY,9999,0,(null),CNV
1001,CMNS,259,BURNABY,9999,0,(null),CNV
1001,CMNS,260,BURNABY,9999,0,(null),CNV
1001,CMNS,261,BURNABY,9999,0,(null),CNV
1001,CMNS,304,BURNABY,9999,0,(null),CNV
1001,CMNS,310,BURNABY,9999,0,(null),CNV
1001,CMNS,320,BURNABY,9999,0,(null),CNV
1001,CMNS,321,BURNABY,9999,0,(null),CNV
1001,CMNS,323,BURNABY,9999,0,(null),CNV
1001,CMNS,326,BURNABY,9999,0,(null),CNV
1001,CMNS,331,BURNABY,9999,0,(null),CNV
1001,CMNS,333,BURNABY,9999,0,(null),CNV
1001,CMNS,334,BURNABY,9999,0,(null),CNV
1001,CMNS,335,BURNABY,9999,0,(null),CNV
1001,CMNS,342,BURNABY,9999,0,(null),CNV
1001,CMNS,345,BURNABY,9999,0,(null),CNV
1001,CMNS,347,BURNABY,9999,0,(null),CNV
1001,CMNS,353,BURNABY,9999,0,(null),CNV
1001,CMNS,358,BURNABY,9999,0,(null),CNV
1001,CMNS,359,BURNABY,9999,0,(null),CNV
1001,CMNS,362,BURNABY,9999,0,(null),CNV
1001,CMNS,363,BURNABY,9999,0,(null),CNV
1001,CMNS,371,BURNABY,9999,0,(null),CNV
1001,CMNS,372,BURNABY,9999,0,(null),CNV
1001,CMNS,375,BURNABY,9999,0,(null),CNV
1001,CMNS,395,BURNABY,9999,0,(null),CNV
1001,CMNS,396,BURNABY,9999,0,(null),CNV
1001,CMNS,408,BURNABY,9999,0,(null),CNV
1001,CMNS,422,BURNABY,9999,0,(null),CNV
1001,CMNS,425,BURNABY,9999,0,(null),CNV
1001,CMNS,426,BURNABY,9999,0,(null),CNV
1001,CMNS,428,BURNABY,9999,0,(null),CNV
1001,CMNS,431,BURNABY,9999,0,(null),CNV
1001,CMNS,433,BURNABY,9999,0,(null),CNV
1001,CMNS,435,BURNABY,9999,0,(null),CNV
1001,CMNS,436,BURNABY,9999,0,(null),CNV
1001,CMNS,438,BURNABY,9999,0,(null),CNV
1001,CMNS,444,BURNABY,9999,0,(null),CNV
1001,CMNS,446,BURNABY,9999,0,(null),CNV
1001,CMNS,447,BURNABY,9999,0,(null),CNV
1001,CMNS,448,BURNABY,9999,0,(null),CNV
1001,CMNS,453,BURNABY,9999,0,(null),CNV
1001,CMNS,454,BURNABY,9999,0,(null),CNV
1001,CMNS,456,BURNABY,9999,0,(null),CNV
1001,CMNS,458,BURNABY,9999,0,(null),CNV
1001,CMNS,472,BURNABY,9999,0,(null),CNV
1001,CMNS,473,BURNABY,9999,0,(null),CNV
1001,CMNS,474,BURNABY,9999,0,(null),CNV
1001,CMNS,478,BURNABY,9999,0,(null),CNV
1001,CMNS,480,BURNABY,9999,0,(null),CNV
1001,CMNS,481,BURNABY,9999,0,(null),CNV
1001,CMNS,482,BURNABY,9999,0,(null),CNV
1001,CMNS,483,BURNABY,9999,0,(null),CNV
1001,CMNS,486,BURNABY,9999,0,(null),CNV
1001,CMNS,487,BURNABY,9999,0,(null),CNV
1001,CMNS,489,BURNABY,9999,0,(null),CNV
1001,CMNS,494,BURNABY,9999,0,(null),CNV
1001,CMNS,495,BURNABY,9999,0,(null),CNV
1001,CMNS,496,BURNABY,9999,0,(null),CNV
1001,CMNS,497,BURNABY,9999,0,(null),CNV
1001,CMNS,498,BURNABY,9999,0,(null),CNV
1001,CMNS,800,BURNABY,9999,0,(null),CNV
1001,CMNS,801,BURNABY,9999,0,(null),CNV
1001,CMNS,802,BURNABY,9999,0,(null),CNV
1001,CMNS,804,BURNABY,9999,0,(null),CNV
1001,CMNS,805,BURNABY,9999,0,(null),CNV
1001,CMNS,815,BURNABY,9999,0,(null),CNV
1001,CMNS,830,BURNABY,9999,0,(null),CNV
1001,CMNS,840,BURNABY,9999,0,(null),CNV
1001,CMNS,845,BURNABY,9999,0,(null),CNV
1001,CMNS,850,BURNABY,9999,0,(null),CNV
1001,CMNS,851,BURNABY,9999,0,(null),CNV
1001,CMNS,855,BURNABY,9999,0,(null),CNV
1001,CMNS,856,BURNABY,9999,0,(null),CNV
1001,CMNS,859,BURNABY,9999,0,(null),CNV
1001,CMNS,860,BURNABY,9999,0,(null),CNV
1001,CMNS,880,BURNABY,9999,0,(null),CNV
1001,CMNS,881,BURNABY,9999,0,(null),CNV
1001,CMNS,882,BURNABY,9999,0,(null),CNV
1001,CMNS,891,BURNABY,9999,0,(null),CNV
1001,CMNS,892,BURNABY,9999,0,(null),CNV
1001,CMNS,895,BURNABY,9999,0,(null),CNV
1001,CMNS,898,BURNABY,9999,0,(null),CNV
1001,CMNS,899,BURNABY,9999,0,(null),CNV
1001,CMPT,XX1,BURNABY,9999,0,(null),CNV
1001,CMPT,100,BURNABY,9999,0,(null),CNV
1001,CMPT,101,BURNABY,9999,0,(null),CNV
